x,y,charge
 9.412534935565500E-02,-6.999485613967991E-01,  1.0
 1.044030756663476E-01,-5.008168282079598E-01, -1.0
 9.733891571493271E-02,-2.991323339891076E-01,  1.0
 1.008952726539135E-01,-1.008952726539137E-01, -1.0
 1.008952726539135E-01, 1.008952726539135E-01,  1.0
 9.733891571493271E-02, 2.991323339891075E-01, -1.0
 1.044030756663476E-01, 5.008168282079597E-01,  1.0
 9.412534935565502E-02, 6.999485613967988E-01, -1.0
 1.064338093869744E-01, 9.249536901885000E-01,  1.0
 2.928864900035685E-01,-9.232543314273263E-01,  1.0
 3.063365013358964E-01,-7.028984769826361E-01, -1.0
 2.954377863253585E-01,-4.973467572814936E-01,  1.0
 3.027170705452533E-01,-3.027170705452534E-01, -1.0
 2.991323339891075E-01,-9.733891571493290E-02,  1.0
 2.991323339891075E-01, 9.733891571493271E-02, -1.0
 3.027170705452533E-01, 3.027170705452533E-01,  1.0
 2.954377863253586E-01, 4.973467572814934E-01, -1.0
 3.063365013358964E-01, 7.028984769826360E-01,  1.0
 2.928864900035685E-01, 9.232543314273260E-01, -1.0
 5.086550310295774E-01,-9.272530228870091E-01, -1.0
 4.927086449324422E-01,-6.962240542374452E-01,  1.0
 5.047631210629570E-01,-5.047631210629571E-01, -1.0
 4.973467572814934E-01,-2.954377863253586E-01,  1.0
 5.008168282079597E-01,-1.044030756663477E-01, -1.0
 5.008168282079597E-01, 1.044030756663476E-01,  1.0
 4.973467572814934E-01, 2.954377863253586E-01, -1.0
 5.047631210629570E-01, 5.047631210629570E-01,  1.0
 4.927086449324422E-01, 6.962240542374449E-01, -1.0
 5.086550310295774E-01, 9.272530228870088E-01,  1.0
 6.876235339470531E-01,-9.185387249783218E-01,  1.0
 7.090229763409658E-01,-7.090229763409659E-01, -1.0
 6.962240542374449E-01,-4.927086449324423E-01,  1.0
 7.028984769826360E-01,-3.063365013358966E-01, -1.0
 6.999485613967988E-01,-9.412534935565520E-02,  1.0
 6.999485613967988E-01, 9.412534935565502E-02, -1.0
 7.028984769826360E-01, 3.063365013358964E-01,  1.0
 6.962240542374449E-01, 4.927086449324422E-01, -1.0
 7.090229763409658E-01, 7.090229763409658E-01,  1.0
 6.876235339470531E-01, 9.185387249783216E-01, -1.0
 9.464647371347148E-01,-9.464647371347150E-01, -1.0
 9.185387249783216E-01,-6.876235339470533E-01,  1.0
 9.272530228870088E-01,-5.086550310295775E-01, -1.0
 9.232543314273260E-01,-2.928864900035686E-01,  1.0
 9.249536901885000E-01,-1.064338093869745E-01, -1.0
 9.249536901885000E-01, 1.064338093869744E-01,  1.0
 9.232543314273260E-01, 2.928864900035685E-01, -1.0
 9.272530228870088E-01, 5.086550310295774E-01,  1.0
 9.185387249783216E-01, 6.876235339470531E-01, -1.0
 9.464647371347148E-01, 9.464647371347148E-01,  1.0
